
 Lista de Imóveis da Caixa;;Data de geração:;17/10/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1555512548360 ;RJ ;ARARUAMA ;JAPAO ;RUA JOSE GOMES PIRES, N. 194, QD B, LT 02, LOT RECANTO DO JAPAO ;147.000,00;245.000,00;40.00;Casa, 0.00 de área total, 148.05 de área privativa, 396.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555512548360
 8444419308076 ;RJ ;ARARUAMA ;PARATY ;RUA JURUA, N. 100, CS 06 LT 21 ;78.000,00;130.000,00;40.00;Casa, 0.00 de área total, 57.00 de área privativa, 900.00 de área do terreno,  2 qto(s), 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419308076
 8555528420340 ;RJ ;ARARUAMA ;CLUBE DOS ENGENHEIROS ;AVENIDA COUNTRY CLUB DOS ENGENHEIROS N 2042 CASA 1, N. 2042, CS 134 LT 1H ;96.000,00;160.000,00;40.00;Casa, 0.00 de área total, 57.90 de área privativa, 200.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555528420340
 1555515278585 ;RJ ;ARARUAMA ;AREAL ;RUA FONSECA, N. 0, QD 06 LT 01 ;224.976,83;356.000,00;36.81;Casa, 0.00 de área total, 301.14 de área privativa, 594.63 de área do terreno,  5 qto(s), WC, 2 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555515278585
 1555510600551 ;RJ ;ARARUAMA ;PRAIA SECA ;RUA 5, N. 0, TERRENO 17, QD 41 ;187.581,36;290.373,63;35.41;Casa, 0.00 de área total, 70.00 de área privativa, 360.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555510600551
 1444412307203 ;RJ ;ARARUAMA ;RIO DO LIMAO ;RUA PORTUGAL, N. 122, CS 102 ;234.556,08;363.089,91;35.41;Casa, 0.00 de área total, 99.12 de área privativa, 402.48 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444412307203
 1444417491410 ;RJ ;ARARUAMA ;RIO DO LIMAO ;RUA DOUTOR OSWALDO CAMPOS, N. 373, UNID 104 ;158.193,58;244.881,71;35.41;Apartamento, 0.00 de área total, 71.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444417491410
 1444404550684 ;RJ ;ARARUAMA ;VILA CAPRI ;RUA BRUNO JARDIM DA SILVA COELHO, N. 130, CASA 102 ;268.047,98;414.934,96;35.41;Casa, 0.00 de área total, 197.10 de área privativa, 454.00 de área do terreno,  3 qto(s), WC, WC Emp, 2 sala(s), DCE, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444404550684
 1444400897841 ;RJ ;ARARUAMA ;CENTRO IGUABINHA ;RUA DO ENGENHO NOVO N 264 5416LOTEAMENTO VILAR ARA, N. 264, LT 16 QD 54 ;274.550,00;425.000,00;35.40;Casa, 0.00 de área total, 237.93 de área privativa, 628.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444400897841
 1444401548484 ;RJ ;ARARUAMA ;CENTRO MORRO GRANDE ;RUA QUATRO, N. 81, . ;116.926,00;181.000,00;35.40;Casa, 0.00 de área total, 58.58 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444401548484
