
 Lista de Imóveis da Caixa;;Data de geração:;17/10/2024;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8555514296669 ;RJ ;RIO DE JANEIRO ;BANCARIOS ;RUA DOUTOR AGENOR DE ALMEIDA LOYOLA, N. 1330, Apto 202 ;161.509,50;285.000,00;43.33;Apartamento, 0.00 de área total, 82.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, WC Emp, 1 sala(s), DCE, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555514296669
 8444411024435 ;RJ ;RIO DE JANEIRO ;ANCHIETA ;RUA IRMA GABRIELA, N. 117 ;113.340,00;200.000,00;43.33;Casa, 0.00 de área total, 89.00 de área privativa, 371.04 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411024435
 8022570015078 ;RJ ;RIO DE JANEIRO ;INHAUMA ;CAMINHO  DO MATEUS, N. 100, Apto 101, BL 02 ;105.972,90;187.000,00;43.33;Apartamento, 0.00 de área total, 50.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8022570015078
 8444409877116 ;RJ ;RIO DE JANEIRO ;INHAUMA ;RUA RAIMUNDO CELA, N. 60, Apto 201, FUNDOS ;79.904,70;141.000,00;43.33;Apartamento, 0.00 de área total, 61.00 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409877116
 8444413813666 ;RJ ;RIO DE JANEIRO ;INHAUMA ;RUA LAGOA CLARA (ANTIGA RUA A), N. 86, Apto 304, 0 ;85.005,00;150.000,00;43.33;Apartamento, 0.00 de área total, 54.00 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413813666
 8444416608931 ;RJ ;RIO DE JANEIRO ;HONORIO GURGEL ;ESTRADA JOAO PAULO, N. 320, Apto 303, BL 09, COND RECANTO DOS ROUXINOIS ;75.371,10;133.000,00;43.33;Apartamento, 0.00 de área total, 46.00 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416608931
 8444402781008 ;RJ ;RIO DE JANEIRO ;ENGENHO NOVO ;RUA MIGUEL GALVAO, N. 32, FUNDOS CASA 2 ;61.770,30;109.000,00;43.33;Casa, 0.00 de área total, 140.00 de área privativa, 40.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444402781008
 8444405914351 ;RJ ;RIO DE JANEIRO ;ENGENHO NOVO ;RUA VAZ DE TOLEDO, N. 78, Apto S-10, 0 ;98.039,10;173.000,00;43.33;Apartamento, 0.00 de área total, 50.00 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444405914351
 8444403577218 ;RJ ;RIO DE JANEIRO ;INHOAIBA ;AVENIDA CESARIO DE MELO, N. 7800, Apto 301, BL05 ;72.537,60;128.000,00;43.33;Apartamento, 0.00 de área total, 43.72 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403577218
 8444412013216 ;RJ ;RIO DE JANEIRO ;INHOAIBA ;RUA R GENTIL DE OURO, N. 615, 209, 10, N. 615, Apto 209, BL. 10 ;74.804,40;132.000,00;43.33;Apartamento, 51.00 de área total, 51.00 de área privativa, 27652.50 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444412013216
 8226470005866 ;RJ ;RIO DE JANEIRO ;HIGIENOPOLIS ;RUA TAMIARANA, N. 291, Apto 102, . ;106.539,60;188.000,00;43.33;Apartamento, 0.00 de área total, 60.00 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), DCE, cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8226470005866
 8444401897223 ;RJ ;RIO DE JANEIRO ;GUADALUPE ;ESTRADA CAMBOATA, N. 3953, Apto 208, BL 05 ;45.336,00;80.000,00;43.33;Apartamento, 0.00 de área total, 50.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401897223
 8444407523198 ;RJ ;RIO DE JANEIRO ;GUADALUPE ;RUA LEOCADIO FIGUEIREDO, N. 650, Apto 103, BL VI ;49.302,90;87.000,00;43.33;Apartamento, 0.00 de área total, 51.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444407523198
 8444409156940 ;RJ ;RIO DE JANEIRO ;GUADALUPE ;ESTRADA CAMBOATA, N. 3953, Apto 406, BL 01 ;55.536,60;98.000,00;43.33;Apartamento, 0.00 de área total, 48.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409156940
 8444415457239 ;RJ ;RIO DE JANEIRO ;GUADALUPE ;RUA LEOCADIO FIGUEIREDO, N. 140, Apto 204, BLOCO XVI ;59.503,50;105.000,00;43.33;Apartamento, 0.00 de área total, 63.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415457239
 8444420784811 ;RJ ;RIO DE JANEIRO ;GUADALUPE ;RUA JOAO PARANAGUA, N. 230, Apto 405, BL 04 ;86.138,40;152.000,00;43.33;Apartamento, 0.00 de área total, 45.31 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420784811
 8444404346783 ;RJ ;RIO DE JANEIRO ;ENGENHO DE DENTRO ;RUA GENERAL CLARINDO, N. 768, Apto 101 ;85.571,70;151.000,00;43.33;Apartamento, 0.00 de área total, 43.00 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444404346783
 8787712195312 ;RJ ;RIO DE JANEIRO ;GUARATIBA ;ESTRADA CABUCU DE BAIXO, N. 600, Apto 103, BL 04 ;68.004,00;120.000,00;43.33;Apartamento, 0.00 de área total, 40.54 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787712195312
 8444402501773 ;RJ ;RIO DE JANEIRO ;ENGENHO DA RAINHA ;RUA JOAO DO AMARAL SIQUEIRA FILHO, N. 75, Apto 408, LOTE 14 PA 29657 ;70.837,50;125.000,00;43.33;Apartamento, 0.00 de área total, 50.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444402501773
 8555518699377 ;RJ ;RIO DE JANEIRO ;IRAJA ;RUA BACANGA, N. 45, CS FUNDOS ;60.636,90;107.000,00;43.33;Casa, 0.00 de área total, 52.00 de área privativa, 97.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555518699377
 8444408150042 ;RJ ;RIO DE JANEIRO ;FREGUESIA (ILHA DO GOVERNADOR) ;RUA JOAO TELES DE MENEZES, N. 142, Apto 102, FDS ;93.505,50;165.000,00;43.33;Apartamento, 0.00 de área total, 44.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408150042
 8444411441125 ;RJ ;RIO DE JANEIRO ;BENTO RIBEIRO ;RUA DIVISORIA, N. 20, Apto 209, LT 01 ;116.740,20;206.000,00;43.33;Apartamento, 0.00 de área total, 57.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411441125
 8444403890811 ;RJ ;RIO DE JANEIRO ;BRAS DE PINA ;RUA MONTALVANIA N 80 AP307 BLOCO02 LT19, N. 80, Apto 307, BLOCO02 LT19 ;62.337,00;110.000,00;43.33;Apartamento, 0.00 de área total, 26.00 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444403890811
 8444409539156 ;RJ ;RIO DE JANEIRO ;BRAS DE PINA ;RUA VICENTE CANECO, N. 76, Apto 308, BL 02 ;45.336,00;80.000,00;43.33;Apartamento, 0.00 de área total, 45.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409539156
 8444410506215 ;RJ ;RIO DE JANEIRO ;BRAS DE PINA ;RUA VICENTE CANECO, N. 76, Apto 106, BL 01 ;68.004,00;120.000,00;43.33;Apartamento, 0.00 de área total, 46.00 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410506215
 8444412170923 ;RJ ;RIO DE JANEIRO ;BRAS DE PINA ;RUA CAMAQUA, N. 267, Apto 402, BL 02 ;91.805,40;162.000,00;43.33;Apartamento, 0.00 de área total, 26.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444412170923
 8022670003179 ;RJ ;RIO DE JANEIRO ;BENFICA ;AVENIDA DOM HELDER CAMARA ANTIGA AVENIDA SUBURBANA, N. 312, Apto 205, BL 05  LT 07 ;109.373,10;193.000,00;43.33;Apartamento, 0.00 de área total, 74.00 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8022670003179
 8444405595698 ;RJ ;RIO DE JANEIRO ;CACHAMBI ;RUA BARCELONA, N. 709, Apto 301 ;166.609,80;294.000,00;43.33;Apartamento, 0.00 de área total, 62.00 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444405595698
 8291270000690 ;RJ ;RIO DE JANEIRO ;CAMPO GRANDE ;RUA ALZIRA SANTOS TALARICO N 90 102, N. 90, Apto 102, APTO ;181.344,00;320.000,00;43.33;Apartamento, 0.00 de área total, 216.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8291270000690
 8444404668837 ;RJ ;RIO DE JANEIRO ;CAMPO GRANDE ;AVENIDA MANUEL CALDEIRA DE ALVARENGA N 954 AP203 Q, N. 954, Apto 203, QD31 LT06 PAL 10673 ;87.271,80;154.000,00;43.33;Apartamento, 0.00 de área total, 60.00 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444404668837
 8444406970573 ;RJ ;RIO DE JANEIRO ;CAMPO GRANDE ;RUA MURILO ALVARENGA (ANTIGA RUA PROJETADA 10), N. 65, Apto 208, BL 02 ;67.607,31;119.300,00;43.33;Apartamento, 49.00 de área total, 49.00 de área privativa, 17728.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444406970573
 8444408695294 ;RJ ;RIO DE JANEIRO ;CAMPO GRANDE ;RUA SEVERINO FERREIRA DA COSTA N 245 AP705 BLOCO04, N. 245, Apto 705, LT03 PAL 38228 ;87.838,50;155.000,00;43.33;Apartamento, 0.00 de área total, 40.00 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408695294
 8444410425410 ;RJ ;RIO DE JANEIRO ;CAMPO GRANDE ;ESTRADA DO MENDANHA, N. 2870, Apto 405, BL 01 ;96.339,00;170.000,00;43.33;Apartamento, 48.63 de área total, 48.63 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410425410
 8444410637565 ;RJ ;RIO DE JANEIRO ;CAMPO GRANDE ;ESTRADA GUANDU DO SAPE, N. 1450, AP 501BL 08 ;85.571,70;151.000,00;43.33;Apartamento, 0.00 de área total, 44.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410637565
 8444412353645 ;RJ ;RIO DE JANEIRO ;CAMPO GRANDE ;ESTRADA JOAO MELO, N. 485, AP 503BL 24 ;81.038,10;143.000,00;43.33;Apartamento, 0.00 de área total, 47.20 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444412353645
 8444415780757 ;RJ ;RIO DE JANEIRO ;CAMPO GRANDE ;RUA MINAS DE PRATA, N. 130, Apto 404, BL 06 ;95.772,30;169.000,00;43.33;Apartamento, 53.00 de área total, 53.00 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415780757
 8555503773711 ;RJ ;RIO DE JANEIRO ;CAMPO GRANDE ;RUA MINAS DE PRATA, N. 130, Apto 203, BL 20 ;69.137,40;122.000,00;43.33;Apartamento, 0.00 de área total, 53.00 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555503773711
 8787701727342 ;RJ ;RIO DE JANEIRO ;CAMPO GRANDE ;ESTRADA  DA CACHAMORRA, N. 794, Apto 401, BL 01 ;105.406,20;186.000,00;43.33;Apartamento, 0.00 de área total, 44.28 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787701727342
 8787710334781 ;RJ ;RIO DE JANEIRO ;CAMPO GRANDE ;RUA JORGE SAMPAIO, N. 100, Apto 303, BLOCO 4 ;77.088,44;136.030,42;43.33;Apartamento, 0.00 de área total, 40.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787710334781
 8787713011460 ;RJ ;RIO DE JANEIRO ;CAMPO GRANDE ;RUA RUA PROJETADA 04, N. 100, Apto 306, BL 06 LT 01 QD 02 ;82.171,50;145.000,00;43.33;Apartamento, 0.00 de área total, 40.19 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787713011460
 8444420840487 ;RJ ;RIO DE JANEIRO ;CASCADURA ;RUA PADRE TELEMACO, N. 5, Apto 405, BLOCO V ;89.141,91;157.300,00;43.33;Apartamento, 0.00 de área total, 36.00 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420840487
 8555515580573 ;RJ ;RIO DE JANEIRO ;CASCADURA ;RUA LANCASTRE, N. 191, Apto 302, . ;75.371,10;133.000,00;43.33;Apartamento, 0.00 de área total, 50.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555515580573
 8555523702186 ;RJ ;RIO DE JANEIRO ;CASCADURA ;AVENIDA ERNANI CARDOSO, N. 94, Apto 704, BLOCO II ;124.674,00;220.000,00;43.33;Apartamento, 0.00 de área total, 44.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555523702186
 8021270007683 ;RJ ;RIO DE JANEIRO ;CORDOVIL ;RUA AGUA DOCE, N. 36, Apto 404, BL 02 ;95.205,60;168.000,00;43.33;Apartamento, 0.00 de área total, 54.77 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8021270007683
 8021270011435 ;RJ ;RIO DE JANEIRO ;CORDOVIL ;AVENIDA SCHULTZ WENCK, N. 486, Apto 201 ;164.343,00;290.000,00;43.33;Apartamento, 116.00 de área total, 116.00 de área privativa, 0.00 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8021270011435
 8022270009846 ;RJ ;RIO DE JANEIRO ;CORDOVIL ;RUA PONTO CHIQUE, N. 97, Apto 303, BL 1 ;97.472,40;172.000,00;43.33;Apartamento, 0.00 de área total, 44.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8022270009846
 8444402067755 ;RJ ;RIO DE JANEIRO ;CORDOVIL ;ESTRADA DO PORTO VELHO, N. 545, Apto 201, BL 06 ;87.838,50;155.000,00;43.33;Apartamento, 0.00 de área total, 50.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444402067755
 8444406541400 ;RJ ;RIO DE JANEIRO ;CORDOVIL ;ESTRADA PORTO VELHO, N. 275, CS 1 ;68.004,00;120.000,00;43.33;Casa, 0.00 de área total, 46.00 de área privativa, 88.33 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444406541400
 8444408110067 ;RJ ;RIO DE JANEIRO ;CORDOVIL ;RUA MAR GRANDE, N. 252, Apto 102, 0 ;56.670,00;100.000,00;43.33;Apartamento, 0.00 de área total, 48.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408110067
 8444408517515 ;RJ ;RIO DE JANEIRO ;CORDOVIL ;RUA AGUA DOCE, N. 35, Apto 501, BL 04 ;60.636,90;107.000,00;43.33;Apartamento, 0.00 de área total, 44.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444408517515
 8444413980368 ;RJ ;RIO DE JANEIRO ;CORDOVIL ;RUA AGUA DOCE, N. 108, Apto 508, BL 02 ;65.142,02;114.949,74;43.33;Apartamento, 0.00 de área total, 44.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413980368
 8444416226001 ;RJ ;RIO DE JANEIRO ;CORDOVIL ;RUA FUNDAO, N. 70, Apto 205, BLOCO 2 ;74.237,70;131.000,00;43.33;Apartamento, 0.00 de área total, 43.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416226001
 8555519778351 ;RJ ;RIO DE JANEIRO ;ENGENHEIRO LEAL ;RUA BARBOSA RODRIGUES, N. 307, Apto 308, . ;47.319,45;83.500,00;43.33;Apartamento, 0.00 de área total, 33.00 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555519778351
 8444409391477 ;RJ ;RIO DE JANEIRO ;COELHO NETO ;RUA MAURICIO DE LACERDA, N. 88, Apto 304 ;75.937,80;134.000,00;43.33;Apartamento, 0.00 de área total, 38.00 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444409391477
 8444410006166 ;RJ ;RIO DE JANEIRO ;COELHO NETO ;RUA BRIGADEIRO OVIDIO BERALDO, N. 49, Apto 106, . ;59.503,50;105.000,00;43.33;Apartamento, 0.00 de área total, 48.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410006166
 8444414237537 ;RJ ;RIO DE JANEIRO ;COELHO NETO ;AVENIDA PREFEITO SA LESSA, N. 471, AP 107 ;69.704,10;123.000,00;43.33;Apartamento, 0.00 de área total, 38.00 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414237537
 8444414677707 ;RJ ;RIO DE JANEIRO ;COELHO NETO ;RUA GENESIO PIRES N 128 404, N. 128, Apto 404 ;75.937,80;134.000,00;43.33;Apartamento, 48.00 de área total, 48.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414677707
 8444415111200 ;RJ ;RIO DE JANEIRO ;COELHO NETO ;AVENIDA PREFEITO SA LESSA, N. 183, Apto 104, . ;52.703,10;93.000,00;43.33;Apartamento, 0.00 de área total, 38.00 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415111200
 8444422188167 ;RJ ;RIO DE JANEIRO ;COELHO NETO ;RUA OMAR FONTOURA, N. 99, Apto 102, LT 15 ;56.670,00;100.000,00;43.33;Apartamento, 0.00 de área total, 38.00 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422188167
 8555520935856 ;RJ ;RIO DE JANEIRO ;COELHO NETO ;RUA CARLOS PACHECO AVILA, N. 67, Apto 504, . ;44.485,95;78.500,00;43.33;Apartamento, 0.00 de área total, 32.00 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555520935856
 8444400584876 ;RJ ;RIO DE JANEIRO ;COLEGIO ;RUA JACE, N. 359, Apto 408, BL 1 ;83.871,60;148.000,00;43.33;Apartamento, 0.00 de área total, 43.00 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444400584876
 8444411310950 ;RJ ;RIO DE JANEIRO ;COSMOS ;CAMINHO DE TUTOIA, N. 290, Apto 106, BL IV ;75.654,45;133.500,00;43.33;Apartamento, 0.00 de área total, 46.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444411310950
